doi;year;numberOfCitations;v1_id;title;dataAccessible;unnötig;typeOfPaper;comment;summary;BPC_Task_ComplianceElicitation_Modeling;BPC_Task_ComplianceElicitation_Extraction;BPC_Task_ComplianceChecking_Verification;BPC_Task_ComplianceChecking_EnforcementMonitoring;BPC_Task_ComplianceChecking_Audit;BPC_Task_ComplianceAnalysis_Reporting;BPC_Task_ComplianceAnalysis_Explanation;BPC_Task_ComplianceEnhancement_Recovery;BPC_Task_ComplianceEnhancement_Resolution;BPC_Task_Others;TypeOfData_RegulatoryDocuments;TypeOfData_PureTextRequirements;TypeOfData_InternalPolicies;TypeOfData_BPModels;TypeOfData_BPDescription;TypeOfData_EventLogs;TypeOfData_FormalizedConstraints;TypeOfData_SemiformalizedConstraints;TypeOfData_Others;FAQ_OtherDataInFuture;FAQ_DataProcessed;FAQ_DataConverter;FAQ_LimitationsOfDataset;FAQ_NatureOfData;FAQ_MoreThanOneVersion;FAQ_ComplianceLevelOrDegree;FAQ_Stakeholders;abstract;
https://doi.org/10.1142/S0218843005001092;2005;353;L;Representing business contracts in RuleML.;TRUE;NO;Theoretical Paper;noted;---;Main Focus;Secondary Focus;Main Focus;Secondary Focus;Mentioned in Future Work;Not Mentioned;Secondary Focus;Not Mentioned;Mentioned in Future Work;framwork for RuleML;No;"Yes - Der Artikel beschreibt Geschäftsprozessanforderungen in Textform, die dann in RuleML übersetzt werden. Dies wird im Abschnitt ""3. RuleML Representation"" auf Seite 5 beschrieben";No;"Yes - Der Artikel verwendet Geschäftsprozessmodelle, die in RuleML notiert sind. Dies wird im Abschnitt ""4. Extraction Process"" auf Seite 7 beschrieben";"Yes - Der Artikel enthält Beschreibungen von Geschäftsprozessen, die in RuleML modelliert werden. Dies wird im Abschnitt ""3. RuleML Representation"" auf Seite 5 beschrieben.";No;"Yes - Der Artikel verwendet formalisierte Einschränkungen, die in deontischer und defeasibler Logik dargestellt werden. Dies wird im Abschnitt ""5. Verification Mechanism"" auf Seite 9 beschrieben";"Yes - Der Artikel verwendet semi-formalisierte Darstellungen, insbesondere durch die Verwendung von RuleML zur Darstellung von Geschäftsverträgen. Dies wird im Abschnitt ""3. RuleML Representation"" auf Seite 5 beschrieben";No;"TRUE - Die Autoren planen, zukünftige Daten zu verwenden, um die Darstellung und Überprüfung von Geschäftsverträgen weiter zu verbessern. Dies wird im Abschnitt ""7. Future Work"" auf Seite 12 erwähnt";semi-automatic;"TRUE: Die Autoren stellen einen Datenkonverter zur Verfügung, um Geschäftsverträge in RuleML zu übersetzen. Dies wird im Abschnitt ""4. Extraction Process"" auf Seite 7 beschrieben";Die Autoren erwähnen, dass die Datensätze möglicherweise nicht alle relevanten Compliance-Regeln abdecken und dass die Datenqualität variieren kann. Sie weisen darauf hin, dass weitere Forschung notwendig ist, um die Datensätze zu erweitern und zu verbessern;Real-World;"TRUE: Der Datensatz enthält mehrere Versionen, da verschiedene Ansätze und Tools zur Überwachung der Compliance-Regeln verglichen wurden. Dies wird im Abschnitt ""4. Case Studies"" auf Seite 9 beschrieben";Compliance Degree;"Die Stakeholder, die mit diesen Daten arbeiten sollen, umfassen Geschäftsprozessmanager, Compliance-Experten, IT-Administratoren und Forscher im Bereich Geschäftsprozessmanagement und Compliance-Monitoring. Dies wird im Abschnitt ""2. Framework Overview"" auf Seite 4 beschrieben";"This paper presents an approach for the specification and implementation of translating contracts from a human-oriented form into an executable representation for monitoring. This will be done in the setting of RuleML. The task of monitoring contract execution and performance requires a logical account of deontic and defeasible aspects of legal language; currently such aspects are not covered by RuleML; accordingly we show how to extend it to cover such notions. From its logical form, the contract will be thus transformed into a machine readable rule notation and eventually implemented as executable semantics via any mark-up languages depending on the client’s preference, for contract monitoring purposes. 
Keywords: Defeasible Logic, Deontic Logic, Logic of Violation, RuleML, Business Contracts";
https://doi.org/10.1007/11912873_18;2006;139;PROPOLS;Pattern Based Property Specification and Verification for Service Composition;TRUE;"yes, partially 
http://www.doc.ic.ac.uk/ltsa/bpel4ws/

http://www.it.swin.edu.au/centres/cecses/trs.htm";Methodology paper, case study;;Das Paper stellt PROPOLS vor – eine auf Property Patterns und Ontologien basierende Sprache zur Spezifikation von Verhaltenseigenschaften in Web-Service-Kompositionen. PROPOLS erweitert bestehende Pattern-Systeme durch logische Komposition, was die Modellierung komplexer Anforderungen ermöglicht. Zudem präsentieren die Autoren ein Verifikationsframework, das BPEL-Prozesse formal überprüft, wobei PROPOLS-Eigenschaften in Finite-State-Automaten übersetzt und gegen den Prozess abgeglichen werden.;Main Focus;mentioned but not elaborated;Main Focus;Mentioned in Future Work;Not Mentioned;mentioned but not elaborated;Secondary Focus;Not Mentioned ;Mentioned in Future Work;Not Mentioned;NO;Yes - Requirements for the purchasing process are initially presented as informal text. ? “The key requirements to this service are sketched as follows...” (S. 157–158);"Yes - The ""hard credit rule"" is an internal business policy within the example. ? “The transactions between customers and AdvantWise follow a hard credit rule...” (S. 158";Yes, BPEL . BPEL is used to model the process. ? “...a BPEL schema to implement AdvantWise’s online purchase process...” (S. 163);Yes - A complete textual and semi-formal description of the business process is provided. (S. 157–158, 163–165);NO;TRUE – FSA (Finite State Automata) - The properties are encoded as FSAs, also referenced to temporal logic. ? “A semantic equivalent Total and Deterministic FSA (TDFA) is built.” (S. 164);Yes – PROPOLS (OWL-based) - PROPOLS is an OWL-based semi-formal compliance language. (S. 157, S. 159);Yes – Ontology & Visual Notation. - The OntoViz diagram and OWL-based ontology are used to visualize and structure compliance properties. (S. 160);TRUE - “We also intend to apply the pattern properties in PROPOLS to provide just-in-time guidance…” (S. 167) — implies integration with real-world design data.;semi-automatic;TRUE - They use Foster’s tool to convert BPEL ? LTS and then LTS ? FSA. ? “Foster’s BPEL2LTS tool... a TDFA is built...” (S. 164);"Not directly stated, but implied. The example is synthetic and simple; authors suggest more complex applications in future work. (S. 167)";Synthetic;FALSE;compliance level;Software Practitioners, Business Experts, System Analysts “PROPOLS enables software practitioners to write formal behavioral properties more easily… practitioners like business experts and system analysts can use concepts...” (S. 157, 160);"Service composition is becoming the dominant paradigm for 
developing Web service applications. It is important to ensure that a service 
composition complies with the requirements for the application. A rigorous 
compliance checking approach usually needs the requirements being specified 
in property specification formalisms such as temporal logics, which are difficult 
for ordinary software practitioners to comprehend. In this paper, we propose a 
property pattern based specification language, named PROPOLS, and use it to 
verify BPEL service composition schemas. PROPOLS is easy to understand 
and use, yet is formally based. It builds on Dwyer et al.’s property pattern 
system and extends it with the logical composition of patterns to accommodate 
the specification of complex requirements. PROPOLS is encoded in an 
ontology language, OWL, to facilitate the sharing and reuse of domain 
knowledge. A Finite State Automata based framework for verifying BPEL 
schemas against PROPOLS properties is also discussed.";finished + 
https://doi.org/10.1007/11837862_2;2006;252;S (PENELOPE);Designing compliant business processes with obligations and permissions.;FALSE;NO;Methodology paper;;In dem Paper wird mit PENELOPE eine deklarative Sprache eingeführt, um zeitliche Verpflichtungen und Erlaubnisse in Geschäftsprozessen explizit zu modellieren. Diese deontischen Regeln dienen als Grundlage, um konforme Prozessmodelle automatisch zu generieren, die zur Validierung und Ausnahmebehandlung in der Prozessgestaltung eingesetzt werden können. Ziel ist es, die Compliance-Forderungen aus Regulierung und Unternehmenspolitik flexibel und wiederverwendbar in der Prozessmodellierung zu verankern.;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;"bstract. The sequence and timing constraints on the activities in business processes are an important aspect of business process compliance. To 
date, these constraints are most often implicitly transcribed into controlflow-based process models. This implicit representation of constraints, 
however, complicates the verification, validation and reuse in business 
process design. In this paper, we investigate the use of temporal deontic 
assignments on activities as a means to declaratively capture the controlflow semantics that reside in business regulations and business policies. 
In particular, we introduce PENELOPE, a language to express temporal 
rules about the obligations and permissions in a business interaction, and 
an algorithm to generate compliant sequence-flow-based process models 
that can be used in business process design.";finished + 
https://doi.org/10.1007/11841197_1;2006;561;Declare;DecSerFlow: Towards a truly declarative service flow language;TRUE;no;"Methodology paper,
Case Study";noted ( TODO now );Dieses paper stellt DecSerFlow vor, eine Sprache zur flexiblen Spezifikation, Überwachung und Überprüfung von Service-Flows. Im Gegensatz zu traditionellen prozeduralen Ansätzen konzentriert sich DecSerFlow auf Einschränkungen und Regeln statt auf die genaue Abfolge von Schritten, was es anpassungsfähig für dynamische Umgebungen macht. Das Paper beschreibt die Syntax und Semantik von DecSerFlow, bietet Fallstudien und diskutiert Methoden zur Überprüfung und Überwachung der Einhaltung der festgelegten Einschränkungen;Main Focus;Not Mentioned;Main Focus;Main Focus;Not Mentioned;Not Mentioned;Not Mentioned;Not Mentioned;Not Mentioned;none;No;Yes, mentioned in page 17, section 4;No ;YES , Fig. 1. Overview of the role played by DecSerFlow in supporting services flows. - Fig. 2. A DecSerFlow model showing some example notations. - Fig. 6. DecSerFlow - Acme Travel Company (as case study);YES , It contains description of business processes, where DecSerFlow is also modeled visualy. (e.g. Fig.7);No, only negation Relation between event formulas;very DecSerFlow model consists of a set of activities and constraints. Constraints define rules that the service has to fulfill. At the end of the service execution all constraints should be fulfilled. The semantics of a constraint is defined with the LTL formula that is assigned to it;"Yes, semi-formalized language is 
used with DerSerFlow for depiction 
of business processes";No;FALSE (but not absolutely sure);semi-automatic;"Yes, to translate service flow models
in DecSerFlow";Die Autoren erwähnen, dass die Datensätze möglicherweise nicht alle relevanten Compliance-Regeln abdecken und dass die Datenqualität variieren kann. Sie weisen darauf hin, dass weitere Forschung notwendig ist, um die Datensätze zu erweitern und zu verbessern;;;;;"The need for process support in the context of web services 
has triggered the development of many languages, systems, and standards. Industry has been developing software solutions and proposing 
standards such as BPEL, while researchers have been advocating the 
use of formal methods such as Petri nets and ?-calculus. The languages 
developed for service flows, i.e., process specification languages for web 
services, have adopted many concepts from classical workflow management systems. As a result, these languages are rather procedural and 
this does not fit well with the autonomous nature of services. Therefore, 
we propose DecSerFlow as a Declarative Service Flow Language. DecSerFlow can be used to specify, enact, and monitor service flows. The 
language is extendible (i.e., constructs can be added without changing 
the engine or semantical basis) and can be used to enforce or to check the 
conformance of service flows. Although the language has an appealing 
graphical representation, it is grounded in temporal logic. 
Key words: Service flows, web services, workflow management, flexibility, temporal 
logic";
https://doi.org/10.1007/978-3-540-75183-0_12;2007;636;new_7;Modeling control objectives for business process compliance;FALSE;NO;Methodology paper;;Das Paper präsentiert eine Methode zur Modellierung von Compliance-Zielen („control objectives“) in Geschäftsprozessen, um regulatorischen Anforderungen systematisch zu begegnen. Es stellt das Konzept der Control Tags vor, die mithilfe der Sprache FCL spezifiziert und in Prozessmodelle integriert werden können. Anhand eines Purchase-to-Pay-Szenarios wird die Vorgehensweise illustriert und eine Grundlage für Compliance-by-Design geschaffen, also die Einhaltung von Regeln bereits im Prozessdesign;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;"Business process design is primarily driven by process improvement 
objectives. However, the role of control objectives stemming from regulations 
and standards is becoming increasingly important for businesses in light of 
recent events that led to some of the largest scandals in corporate history. As 
organizations strive to meet compliance agendas, there is an evident need to 
provide systematic approaches that assist in the understanding of the interplay 
between (often conflicting) business and control objectives during business 
process design. In this paper, our objective is twofold. We will firstly present a 
research agenda in the space of business process compliance, identifying major 
technical and organizational challenges. We then tackle a part of the overall 
problem space, which deals with the effective modeling of control objectives 
and subsequently their propagation onto business process models. Control 
objective modeling is proposed through a specialized modal logic based on 
normative systems theory, and the visualization of control objectives on 
business process models is achieved procedurally. The proposed approach is 
demonstrated in the context of a purchase-to-pay scenario. 
Keywords: Compliance, Risk, Internal Controls, Business Process Design.";finished +
10.1109/TASE.2007.56;2007;112;PPSL;Verification of business process quality constraints based on visual process patterns;FALSE;NO;Methodology paper;;Das Paper stellt eine Methodik zur automatischen Verifikation von Qualitätsanforderungen in Geschäftsprozessen vor, indem sogenannte Prozessmuster visuell mit UML Activities modelliert und anschließend in temporale Logik übersetzt werden. Der Ansatz nutzt eine semantische Übersetzung der Prozesse in Transition Systems, um mithilfe von Model Checking zu überprüfen, ob ein Geschäftsprozess die spezifizierten Qualitätsanforderungen erfüllt. Eine Toolchain, eingebettet in ein Eclipse-Plugin, unterstützt den Modellierer bei der Umsetzung und Überprüfung der Muster.;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;"Business processes usually have to consider certain constraints like domain specific and quality requirements. The 
automated formal verification of these constraints is desirable, but requires the user to provide an unambiguous 
formal specification. In particular since the notations for 
business process modeling are usually visual flow-oriented 
languages, the notational gap to the languages usually employed for the formal specification of constraints, e.g., temporal logic, is significant and hard to bridge. Thus, our approach relies on UML Activities as a single language for 
the specification of both business processes and the corresponding constraints. For the expression of such constraints, we have provided a process pattern definition language based on specialized Activities. In this paper, we describe how model checking can be employed for formal verification of business processes against such patterns. For 
this, we present an automated transformation of the business process and the corresponding patterns into a transition system and temporal logic, respectively.";finished +
https://doi.org/10.1007/978-3-540-78238-4_14;2007;151;D;Compliance aware business process design.;TRUE;no, not clear;Methodology paper;"The paper focuses on a methodology, not empirical data collection -> 
Therefore, it doesn't primarily rely on specific datasets in the way a 
user study or case study would";"This paper proposes a method to quantitatively measure how well a business process model complies with control objectives (like regulations and standards) during the design phase -> It introduces the concept of a ""compliance degree"" to help designers balance business goals with compliance requirements -> The aim is to enable early-stage compliance checks reducing runtime violations and penalties. Essentially it provides a tool for designers to assess and improve the compliance of their processes before implementation";Main Focus;Not Mentioned;Main Focus;Secondary Focus;Secondary Focus;Secondary Focus;Mentioned in Future Work;Not Mentioned;Not Mentioned;framework;No;No;No;Yes - The paper uses business process models (BPMN) without mentioning it specicly);Yes - page 2-3 (section 2);No;Yes - The work uses formalized control rules specified in FCL (Formal Compliance Language);No;No;Yes - This paper introduces a method to measure how well business process models align with compliance requirements (like laws and standards) during the design phase. Currently, the approach focuses on analyzing execution sequences. In the future, the method will be expanded to also consider resource allocations and data flows;semi-automatic;FALSE;NO;Synthetic;NO;Compliance Degree;-Compliance experts, business Analysists, process designer;"Historically, business process design has been driven by business 
objectives, specifically process improvement. However this cannot come at the 
price of control objectives which stem from various legislative, standard and 
business partnership sources. Ensuring the compliance to regulations and 
industrial standards is an increasingly important issue in the design of business 
processes. In this paper, we advocate that control objectives should be 
addressed at an early stage, i.e., design time, so as to minimize the problems of 
runtime compliance checking and consequent violations and penalties. To this 
aim, we propose supporting mechanisms for business process designers. This 
paper specifically presents a support method which allows the process designer 
to quantitatively measure the compliance degree of a given process model 
against a set of control objectives. This will allow process designers to 
comparatively assess the compliance degree of their design as well as be better 
informed on the cost of non-compliance. 
Keywords: Business Process Design, Process Compliance Control, Business 
Process Modeling. ";
https://doi.org/10.1007/978-3-540-85758-7_24;2008;399;E;Efficient compliance checking using BPMN-Q and temporal logic.;TRUE;"yes, partially
http://oryx-editor.org/";Methodology paper;;Das Paper präsentiert eine Methode zur effizienten Compliance-Prüfung von Geschäftsprozessmodellen, indem Compliance-Regeln visuell mit BPMN-Q formuliert und dann in temporale Logik (PLTL) überführt werden. Die Methode nutzt Model Checking, um automatisiert zu prüfen, ob ein Prozessmodell bestimmten Regeln entspricht, und adressiert die Problematik der Zustandsraumexplosion durch gezielte Reduktionsregeln. Ein prototypisches Tool wurde implementiert, welches auf BPMN-Prozessmodellen arbeitet und die Methode erfolgreich evaluiert.;Secondary Focus;Mentioned in Future Work;Main Focus;Not Mentioned;Secondary Focus;mentioned but not elaborated;mentioned but not elaborated;Not Mentioned ;Mentioned in Future Work;Not Mentioned;"Yes. 
Example: Sarbanes-Oxley Act of 2002 is cited as a compliance driver: > “Regulations might also come with legal regulations like the Sarbanes-Oxley Act of 2002 [1].” (p. 326)";No. Compliance requirements are not described in natural language text form, but directly formalized through rules.;"Yes. 
Discussed in context of policies changing over time: > “Compliance rules originate from different sources and keep changing over time.” (p. 326)";Yes – BPMN. Main data type used: > “Our approach is not limited to processes defined in BPMN, it can be applied to any graph based process definition language.” (p. 327);"Yes.
Full textual walkthrough of a bank account opening process is given: > “Consider the process model in Figure 1 expressed in BPMN notation for opening a bank account.” (p. 328)";NO ;Yes – PLTL (Past Linear Temporal Logic): > “We used Past linear time temporal logic (PLTL)... allows expressing formulae about the past states of a system.” (p. 336);Yes – BPMN-Q is a visual query language used to express rules: > “To express rules as queries, we add an activity node in the query... using BPMN-Q.” (p. 330);Yes – Illustrative process models and graphs;TRUE. They plan to extend to data object state analysis: > “We intend to extend BPMN-Q with the capability of querying data objects and verification of their states...” (p. 340);automatic ;TRUE. They implemented a Petri net generator and a PLTL generator: > “We implemented a Petri net generator... and a PLTL generator returning the temporal logic formulae.” (p. 338);The reduction of graphs limits traceability of violations: > “Generated counter examples by the model checker do not reflect real execution scenarios...” (p. 340);real-world;FALSE;compliance level;Compliance Experts, Process Designers: > “Organizations need to hire compliance experts auditing their process models.” (p. 326) and > “...assisting the process designer to create compliant business processes.” (p. 338);"Compliance rules describe regulations, policies and quality 
constraints business processes must adhere to. Given the large number of 
rules and their frequency of change, manual compliance checking can become a time-consuming task. Automated compliance checking of process 
activities and their ordering is an alternative whenever business processes and compliance rules are described in a formal way. This paper 
introduces an approach for automated compliance checking. Compliance 
rules are translated into temporal logic formulae that serve as input to 
model checkers which in turn verify whether a process model satisfies the 
requested compliance rule. To address the problem of state-space explosion we employ a set of reduction rules. The approach is prototypically 
realized and evaluated";finished +
https://doi.org/10.1016/j.datak.2007.06.007;2008;199;trpro_proposal_9;Integration and verification of semantic constraints in adaptive process management systems;FALSE;NO;Methodology paper;not relevant;In diesem Paper wird ein Framework zur Integration und Überprüfung semantischer Constraints in adaptiven Prozessmanagementsystemen vorgestellt. Ziel ist es, semantische Korrektheit sicherzustellen – auch bei ad hoc Änderungen oder der Weitergabe von Template-Änderungen an laufende Prozessinstanzen. Das Framework definiert zentrale Constraint-Typen (Mutual Exclusion und Dependency), gibt formale Kriterien zur Prüfung an die Hand und zeigt, wie diese effizient überprüft werden können, um semantische Konflikte wie Medikamentenunverträglichkeiten in Prozessen zu vermeiden.;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant ;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;"Adaptivity in process management systems is key to their successful applicability in practice. Approaches have been 
already developed to ensure system correctness after arbitrary process changes at the syntactical level (e.g., avoiding inconsistencies such as deadlocks or missing input parameters after a process change). However, errors may be still caused at the 
semantical level (e.g., violation of business rules). Therefore, the integration and verification of domain knowledge will flag 
a milestone in the development of adaptive process management technology. In this paper, we introduce a framework for 
defining semantic constraints over processes in such a way that they can express real-world domain knowledge on the one 
hand and are still manageable concerning the effort for maintenance and semantic process verification on the other hand. 
This can be used to detect semantic conflicts (e.g., drug incompatibilities) when modeling process templates, applying ad 
hoc changes at process instance level, and propagating process template modifications to already running process 
instances, even if they have been already individually modified themselves; i.e., we present techniques to ensure semantic 
correctness for single and concurrent changes which are, in addition, minimal regarding the set of semantic constraints to 
be checked. Together with further optimizations of the semantic checks based on certain process meta model properties 
this allows for efficiently verifying processes. Altogether, the framework presented in this paper provides the basis for process management systems which are adaptive and semantic-aware at the same time. 
2007 Elsevier B.V. All rights reserved. 
Keywords: Semantic correctness; Semantic process verification; Semantic constraints; Adaptive process management systems";finished-
not relevant;2008;157;BPC_Checking_Current_State;Business process compliance checking: Current state and future challenges;FALSE;NO;Position paper;not relevant;"the paper focuses on theoretical models, frameworks, and techniques for compliance 
checking in business processes, without mentioning a specific dataset";not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;not relevant;"Regulatory compliance sets new requirements for business process management (BPM). Companies seek to enhance their corporate governance processes and 
are required to put in place measures for ensuring compliance to regulations. In this 
sense, this position paper (i) reviews the current work in the context of BPM systems 
and (ii) suggests future directions to improve the current status. During the literature 
review, techniques are classified as supporting forward or backward compliance. The 
latter is a post-execution compliance (i.e. based on execution histories of systems) 
and the former takes place at design- or run-time. In a nutshell, this position paper 
claims that four main aspects need to be incorporated by current compliance checking techniques: (i) an integrated approach able to cover the full BPM life-cycle, (ii) 
the support for compliance checks beyond control-flow-related aspects, (iii) intuitive 
graphical notations for business analysts, and (iv) embedding semantic technologies 
during the definition, deployment and executions of compliance checks.";
